aa_int1,aa_int2,aa_quiz1,aa_quiz2,aa_quiz3,aa_quiz4,aa_regret,aa_joy,ai_int1,ai_int2,ai_quiz1,ai_quiz2,ai_quiz3,ai_quiz4,ai_regret,ai_joy,ia_int1,ia_int2,ia_quiz1,ia_quiz2,ia_quiz3,ia_quiz4,ia_regret,ia_joy,ii_int1,ii_int2,ii_quiz1,ii_quiz2,ii_quiz3,ii_quiz4,ii_regret,ii_joy,age,gender
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,6,4,24,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,1,5, , , , , , , , ,39,1
1,1,1,1,1,2,3,4, , , , , , , , , , , , , , , , , , , , , , , , ,29,1
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,4,4,25,1
 , , , , , , , ,1,1,1,2,1,2,4,3, , , , , , , , , , , , , , , , ,52,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,5,3,35,2
1,1,1,1,1,2,1,6, , , , , , , , , , , , , , , , , , , , , , , , ,32,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,5,5, , , , , , , , ,43,1
 , , , , , , , ,1,1,1,2,1,2,1,4, , , , , , , , , , , , , , , , ,61,1
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,6,3,26,2
 , , , , , , , ,1,1,1,2,1,2,3,4, , , , , , , , , , , , , , , , ,38,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,6,4,30,1
 , , , , , , , ,1,1,1,2,1,2,6,2, , , , , , , , , , , , , , , , ,23,2
1,1,1,1,1,2,4,6, , , , , , , , , , , , , , , , , , , , , , , , ,47,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,1,6, , , , , , , , ,26,1
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,4,6,39,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,5,5,30,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,3,5, , , , , , , , ,23,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,4,2, , , , , , , , ,29,1
 , , , , , , , ,1,1,1,2,1,2,2,5, , , , , , , , , , , , , , , , ,52,2
 , , , , , , , ,1,1,1,2,1,2,2,2, , , , , , , , , , , , , , , , ,46,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,4,3,23,2
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,2,5, , , , , , , , ,22,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,5,5,41,2
 , , , , , , , ,1,1,1,2,1,2,1,6, , , , , , , , , , , , , , , , ,26,1
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,5,4,32,2
 , , , , , , , ,1,1,1,2,1,2,4,4, , , , , , , , , , , , , , , , ,42,2
1,1,1,1,1,2,1,6, , , , , , , , , , , , , , , , , , , , , , , , ,66,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,5,5, , , , , , , , ,23,2
 , , , , , , , ,1,1,1,2,1,2,6,4, , , , , , , , , , , , , , , , ,41,1
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,2,5,33,1
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,5,2,27,2
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,5,6, , , , , , , , ,32,2
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,4,5, , , , , , , , ,37,2
1,1,1,1,1,2,2,4, , , , , , , , , , , , , , , , , , , , , , , , ,57,2
1,1,1,1,1,2,3,3, , , , , , , , , , , , , , , , , , , , , , , , ,23,1
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,5,2,26,2
 , , , , , , , ,1,1,1,2,1,2,4,2, , , , , , , , , , , , , , , , ,31,1
1,1,1,1,1,2,2,5, , , , , , , , , , , , , , , , , , , , , , , , ,35,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,4,4,29,2
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,3,4, , , , , , , , ,34,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,2,2,52,1
1,1,1,1,1,2,2,5, , , , , , , , , , , , , , , , , , , , , , , , ,50,2
1,1,1,1,1,2,3,2, , , , , , , , , , , , , , , , , , , , , , , , ,60,1
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,5,5,28,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,5,4,31,2
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,2,6, , , , , , , , ,26,1
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,4,2,32,2
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,2,6, , , , , , , , ,42,1
1,1,1,1,1,2,1,6, , , , , , , , , , , , , , , , , , , , , , , , ,34,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,3,3, , , , , , , , ,23,1
 , , , , , , , ,1,1,1,2,1,2,1,5, , , , , , , , , , , , , , , , ,47,1
1,1,1,1,1,2,1,5, , , , , , , , , , , , , , , , , , , , , , , , ,44,1
 , , , , , , , ,1,1,1,2,1,2,5,6, , , , , , , , , , , , , , , , ,50,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,5,2,72,2
 , , , , , , , ,1,1,1,2,1,2,2,5, , , , , , , , , , , , , , , , ,24,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,4,3, , , , , , , , ,51,2
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,1,6, , , , , , , , ,34,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,6,1,49,2
 , , , , , , , ,1,1,1,2,1,2,3,2, , , , , , , , , , , , , , , , ,37,2
 , , , , , , , ,1,1,1,2,1,2,3,6, , , , , , , , , , , , , , , , ,24,1
1,1,1,1,1,2,2,5, , , , , , , , , , , , , , , , , , , , , , , , ,32,1
1,1,1,1,1,2,3,5, , , , , , , , , , , , , , , , , , , , , , , , ,38,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,1,6, , , , , , , , ,30,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,4,5, , , , , , , , ,28,1
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,5,6,32,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,5,2, , , , , , , , ,35,1
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,5,5,31,1
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,3,6,34,1
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,2,5,39,2
1,1,1,1,1,2,5,5, , , , , , , , , , , , , , , , , , , , , , , , ,27,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,3,6, , , , , , , , ,42,2
1,1,1,1,1,2,3,3, , , , , , , , , , , , , , , , , , , , , , , , ,33,1
1,1,1,1,1,2,5,6, , , , , , , , , , , , , , , , , , , , , , , , ,23,2
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,3,4, , , , , , , , ,27,1
 , , , , , , , ,1,1,1,2,1,2,4,6, , , , , , , , , , , , , , , , ,27,1
 , , , , , , , ,1,1,1,2,1,2,3,6, , , , , , , , , , , , , , , , ,31,2
 , , , , , , , ,1,1,1,2,1,2,5,4, , , , , , , , , , , , , , , , ,27,1
 , , , , , , , ,1,1,1,2,1,2,3,4, , , , , , , , , , , , , , , , ,33,1
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,2,6,25,1
 , , , , , , , ,1,1,1,2,1,2,4,3, , , , , , , , , , , , , , , , ,25,2
 , , , , , , , ,1,1,1,2,1,2,6,1, , , , , , , , , , , , , , , , ,24,2
 , , , , , , , ,1,1,1,2,1,2,1,6, , , , , , , , , , , , , , , , ,38,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,6,5,70,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,4,5,38,2
 , , , , , , , ,1,1,1,2,1,2,1,6, , , , , , , , , , , , , , , , ,51,1
1,1,1,1,1,2,2,5, , , , , , , , , , , , , , , , , , , , , , , , ,55,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,4,4,37,1
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,5,5,42,1
1,1,1,1,1,2,6,1, , , , , , , , , , , , , , , , , , , , , , , , ,29,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,2,5, , , , , , , , ,61,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,6,6, , , , , , , , ,26,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,3,3, , , , , , , , ,24,1
 , , , , , , , ,1,1,1,2,1,2,5,2, , , , , , , , , , , , , , , , ,27,1
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,3,6,24,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,5,4,25,2
1,1,1,1,1,2,2,5, , , , , , , , , , , , , , , , , , , , , , , , ,23,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,3,5,22,2
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,4,5, , , , , , , , ,30,1
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,4,4,55,1
1,1,1,1,1,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , ,21,1
1,1,1,1,1,2,2,5, , , , , , , , , , , , , , , , , , , , , , , , ,36,1
1,1,1,1,1,2,5,5, , , , , , , , , , , , , , , , , , , , , , , , ,26,2
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,6,5, , , , , , , , ,40,2
 , , , , , , , ,1,1,1,2,1,2,3,5, , , , , , , , , , , , , , , , ,32,1
1,1,1,1,1,2,2,5, , , , , , , , , , , , , , , , , , , , , , , , ,36,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,5,4, , , , , , , , ,21,2
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,2,2, , , , , , , , ,52,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,6,1,32,1
 , , , , , , , ,1,1,1,2,1,2,5,4, , , , , , , , , , , , , , , , ,32,1
 , , , , , , , ,1,1,1,2,1,2,5,3, , , , , , , , , , , , , , , , ,29,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,4,5,23,2
1,1,1,1,1,2,2,5, , , , , , , , , , , , , , , , , , , , , , , , ,58,2
1,1,1,1,1,2,2,5, , , , , , , , , , , , , , , , , , , , , , , , ,30,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,6,6,38,2
1,1,1,1,1,2,2,4, , , , , , , , , , , , , , , , , , , , , , , , ,45,2
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,6,6, , , , , , , , ,28,1
 , , , , , , , ,1,1,1,2,1,2,5,2, , , , , , , , , , , , , , , , ,28,1
 , , , , , , , ,1,1,1,2,1,2,1,6, , , , , , , , , , , , , , , , ,50,2
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,3,5, , , , , , , , ,20,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,2,5, , , , , , , , ,48,1
1,1,1,1,1,2,2,4, , , , , , , , , , , , , , , , , , , , , , , , ,27,1
 , , , , , , , ,1,1,1,2,1,2,4,3, , , , , , , , , , , , , , , , ,50,2
1,1,1,1,1,2,1,6, , , , , , , , , , , , , , , , , , , , , , , , ,34,2
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,1,6, , , , , , , , ,29,1
 , , , , , , , ,1,1,1,2,1,2,3,5, , , , , , , , , , , , , , , , ,49,1
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,5,4,41,1
 , , , , , , , ,1,1,1,2,1,2,5,2, , , , , , , , , , , , , , , , ,30,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,3,5, , , , , , , , ,36,2
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,1,6, , , , , , , , ,35,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,2,5, , , , , , , , ,44,2
1,1,1,1,1,2,3,5, , , , , , , , , , , , , , , , , , , , , , , , ,34,2
 , , , , , , , ,1,1,1,2,1,2,2,5, , , , , , , , , , , , , , , , ,36,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,2,6, , , , , , , , ,30,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,5,5,26,1
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,6,6,57,2
 , , , , , , , ,1,1,1,2,1,2,3,6, , , , , , , , , , , , , , , , ,44,1
 , , , , , , , ,1,1,1,2,1,2,4,4, , , , , , , , , , , , , , , , ,45,1
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,6,6,28,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,6,6, , , , , , , , ,30,2
 , , , , , , , ,1,1,1,2,1,2,2,6, , , , , , , , , , , , , , , , ,32,2
1,1,1,1,1,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,54,2
1,1,1,1,1,2,1,6, , , , , , , , , , , , , , , , , , , , , , , , ,40,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,3,4, , , , , , , , ,41,1
1,1,1,1,1,2,5,1, , , , , , , , , , , , , , , , , , , , , , , , ,37,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,6,6,23,2
1,1,1,1,1,2,2,4, , , , , , , , , , , , , , , , , , , , , , , , ,37,1
1,1,1,1,1,2,2,5, , , , , , , , , , , , , , , , , , , , , , , , ,45,1
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,6,2,26,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,2,5,25,2
 , , , , , , , ,1,1,1,2,1,2,5,5, , , , , , , , , , , , , , , , ,52,1
 , , , , , , , ,1,1,1,2,1,2,2,5, , , , , , , , , , , , , , , , ,50,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,5,5,40,1
1,1,1,1,1,2,2,4, , , , , , , , , , , , , , , , , , , , , , , , ,34,2
1,1,1,1,1,2,1,6, , , , , , , , , , , , , , , , , , , , , , , , ,22,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,2,5, , , , , , , , ,23,2
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,2,5, , , , , , , , ,49,2
